CID,Drug Name,Accession,Gene Symbol
145994598,AGRO100,Q9Y6K9,IKBKG
92337,Tarenflurbil,Q9Y6K9,IKBKG
17753880,S-(Dimethylarsenic)Cysteine,Q9Y678,COPG1
5280363,Dinoprost,Q9Y5Y4,PTGDR2
3715,Indomethacin,Q9Y5Y4,PTGDR2
448457,Prostaglandin D2,Q9Y5Y4,PTGDR2
123879,Ramatroban,Q9Y5Y4,PTGDR2
5311181,Iloprost,Q9Y5Y4,PTGDR2
5280723,Alprostadil,Q9Y5Y4,PTGDR2
5280360,Dinoprostone,Q9Y5Y4,PTGDR2
1548887,Sulindac,Q9Y5Y4,PTGDR2
5733,Zomepirac,Q9Y5Y4,PTGDR2
11671467,Fostamatinib,Q9Y2K2,SIK3
253602,Anisomycin,Q9UNX3,RPL26L1
444718,(S)-3-phenyllactic acid,Q9UNX3,RPL26L1
439530,Puromycin,Q9UNX3,RPL26L1
3007855,Zinc chloride,Q9ULF5,SLC39A10
5311145,AC1NSK2W,Q9ULA0,DNPEP
14542146,CHEMBL341941,Q9ULA0,DNPEP
44360285,CHEMBL142010,Q9ULA0,DNPEP
14542149,CHEMBL140459,Q9ULA0,DNPEP
15719283,CHEMBL140779,Q9ULA0,DNPEP
33032,Glutamicol,Q9ULA0,DNPEP
44309732,CHEMBL309130,Q9ULA0,DNPEP
15719279,CHEMBL143589,Q9ULA0,DNPEP
15719282,CHEMBL140846,Q9ULA0,DNPEP
11671467,Fostamatinib,Q9UHD2,TBK1
253602,Anisomycin,Q9UHA3,RSL24D1
444718,(S)-3-phenyllactic acid,Q9UHA3,RSL24D1
439530,Puromycin,Q9UHA3,RSL24D1
5962,Hydrolysine,Q9UDR5,AASS
33032,Glutamicol,Q9UDR5,AASS
439153,dihydrodiphosphopyridine nucleotide,Q9UDR5,AASS
160556,L-Saccharopine,Q9UDR5,AASS
5884,NADPH,Q9UDR5,AASS
1110,Bernsteinsaeure,Q9P2R7,SUCLA2
135398513,Acyclovir,Q9P2R7,SUCLA2
11671467,Fostamatinib,Q9P0L2,MARK1
34756,Acylcarnitine,Q9NZL9,MAT2B
6137,Polymethionine,Q9NZL9,MAT2B
5280934,alpha-Linolenic acid,Q9NYP7,ELOVL5
46830779,CHEMBL1083026,Q9NYK1,TLR7
135409474,Isatoribine,Q9NYK1,TLR7
57469,IMIQUIMOD,Q9NYK1,TLR7
24860861,CHEMBL377840,Q9NYK1,TLR7
46834530,CHEMBL1084998,Q9NYK1,TLR7
46834248,CHEMBL1082364,Q9NYK1,TLR7
24860863,CHEMBL211891,Q9NYK1,TLR7
6992140,Golotimod,Q9NYK1,TLR7
3652,Hydroxychloroquine,Q9NYK1,TLR7
11949605,CHEMBL484765,Q9NYK1,TLR7
24860931,CHEMBL213396,Q9NYK1,TLR7
23158770,CHEMBL1093467,Q9NYK1,TLR7
44588952,CHEMBL519685,Q9NYK1,TLR7
44592368,CHEMBL512499,Q9NYK1,TLR7
52946880,CHEMBL1269159,Q9NYK1,TLR7
11223759,CHEMBL1092655,Q9NYK1,TLR7
52944297,CHEMBL1271705,Q9NYK1,TLR7
52948094,CHEMBL1269158,Q9NYK1,TLR7
46831067,CHEMBL1082642,Q9NYK1,TLR7
10018576,TLR7 Ligand II,Q9NYK1,TLR7
50899555,CHEMBL1269157,Q9NYK1,TLR7
159603,Resiquimod,Q9NYK1,TLR7
46831065,CHEMBL1082399,Q9NYK1,TLR7
23158703,CHEMBL1089517,Q9NYK1,TLR7
46831378,CHEMBL1082982,Q9NYK1,TLR7
52941850,CHEMBL1271654,Q9NYK1,TLR7
46830776,CHEMBL1086474,Q9NYK1,TLR7
46196915,CHEMBL1089548,Q9NYK1,TLR7
23158775,CHEMBL1089226,Q9NYK1,TLR7
46196913,CHEMBL1090529,Q9NYK1,TLR7
9818270,CHEMBL150961,Q9NYK1,TLR7
46830489,CHEMBL1086473,Q9NYK1,TLR7
10317115,CHEMBL1089863,Q9NYK1,TLR7
23079483,CHEMBL1089224,Q9NYK1,TLR7
11596538,CHEMBL1093466,Q9NYK1,TLR7
52945312,CHEMBL1271706,Q9NYK1,TLR7
44588975,CHEMBL447817,Q9NYK1,TLR7
44588974,CHEMBL449896,Q9NYK1,TLR7
9930010,CHEMBL1089225,Q9NYK1,TLR7
24898957,CHEMBL483597,Q9NYK1,TLR7
44588973,CHEMBL519690,Q9NYK1,TLR7
21470208,CHEMBL1082983,Q9NYK1,TLR7
11647322,CHEMBL1092654,Q9NYK1,TLR7
52946707,CHEMBL1271653,Q9NYK1,TLR7
44592367,CHEMBL470427,Q9NYK1,TLR7
46196914,CHEMBL1089220,Q9NYK1,TLR7
46831374,CHEMBL1082336,Q9NYK1,TLR7
46830488,CHEMBL1086143,Q9NYK1,TLR7
46830487,CHEMBL1083637,Q9NYK1,TLR7
46831372,CHEMBL1082307,Q9NYK1,TLR7
44415366,CHEMBL215536,Q9NYK1,TLR7
46830777,CHEMBL1082376,Q9NYK1,TLR7
46830778,CHEMBL1086372,Q9NYK1,TLR7
13982892,CHEMBL1082304,Q9NYK1,TLR7
44592366,CHEMBL1085742,Q9NYK1,TLR7
46196912,CHEMBL1089862,Q9NYK1,TLR7
447048,Adenosine-5-Diphosphoribose,Q9NXA8,SIRT5
5361,Naphuride,Q9NXA8,SIRT5
936,Nicotinamide,Q9NXA8,SIRT5
447049,2'-O-Acetyl Adenosine-5-Diphosphoribose,Q9NXA8,SIRT5
3246390,Cambinol,Q9NXA8,SIRT5
11671467,Fostamatinib,Q9NWZ3,IRAK4
11987888,1-(3-HYDROXYPROPYL)-2-[(3-NITROBENZOYL)AMINO]-1H-BENZIMIDAZOL-5-YL PIVALATE,Q9NWZ3,IRAK4
159603,Resiquimod,Q9NR97,TLR8
16042898,CHEMBL520026,Q9NR97,TLR8
16222788,CHEMBL485552,Q9NR97,TLR8
23079483,CHEMBL1089224,Q9NR97,TLR8
57469,IMIQUIMOD,Q9NR97,TLR8
6992140,Golotimod,Q9NR96,TLR9
2719,Chloroquinium,Q9NR96,TLR9
3652,Hydroxychloroquine,Q9NR96,TLR9
11474810,CHEMBL485553,Q9NR96,TLR9
11189680,CHEMBL457704,Q9NR96,TLR9
44589026,CHEMBL515364,Q9NR96,TLR9
44589003,CHEMBL520189,Q9NR96,TLR9
284,Ameisensaeure,Q9NQX3,GPHN
795,Imidazole,Q9NQX3,GPHN
1032,Propanoic acid,Q9NQX3,GPHN
439655,Linksweinsaeure,Q9NP99,TREM1
124886,gamma-Glutamylcysteinylglycine,Q9NP99,TREM1
439554,FUCOSE,Q9NNX6,CD209
185698,Mannose,Q9NNX6,CD209
1051,Phosphopyridoxal,Q9HD40,SEPSECS
33032,Glutamicol,Q9H936,SLC25A22
11029,Magnesium carbonate,Q9H8M5,CNNM2
16070041,S1560_Selleck,Q9H7Z7,PTGES2
16730275,CHEMBL565406,Q9H7Z7,PTGES2
11705274,CHEMBL483900,Q9H7Z7,PTGES2
19914713,CHEMBL179026,Q9H7Z7,PTGES2
44389649,CHEMBL180919,Q9H7Z7,PTGES2
5280360,Dinoprostone,Q9H7Z7,PTGES2
44389535,CHEMBL181390,Q9H7Z7,PTGES2
44390943,CHEMBL180617,Q9H7Z7,PTGES2
44389950,CHEMBL182153,Q9H7Z7,PTGES2
44390366,CHEMBL181836,Q9H7Z7,PTGES2
44389930,CHEMBL360742,Q9H7Z7,PTGES2
44390020,CHEMBL426054,Q9H7Z7,PTGES2
44390083,CHEMBL181236,Q9H7Z7,PTGES2
44390555,CHEMBL180846,Q9H7Z7,PTGES2
44391207,CHEMBL183878,Q9H7Z7,PTGES2
44390723,CHEMBL181792,Q9H7Z7,PTGES2
44391283,CHEMBL183596,Q9H7Z7,PTGES2
44390496,CHEMBL362675,Q9H7Z7,PTGES2
44390610,CHEMBL362242,Q9H7Z7,PTGES2
44390835,CHEMBL181728,Q9H7Z7,PTGES2
44390875,CHEMBL362836,Q9H7Z7,PTGES2
44390722,CHEMBL182032,Q9H7Z7,PTGES2
44390981,CHEMBL368241,Q9H7Z7,PTGES2
1548887,Arthrocine,Q9H7Z7,PTGES2
5352624,Sulindac sulfide,Q9H7Z7,PTGES2
44390282,CHEMBL182092,Q9H7Z7,PTGES2
11526708,CHEMBL180650,Q9H7Z7,PTGES2
122070,Tocris-1698,Q9H7Z7,PTGES2
44389574,CHEMBL178207,Q9H7Z7,PTGES2
158,Dinoprostone,Q9H7Z7,PTGES2
4553,N-(2-Cyclohexyloxy-4-nitrophenyl)methanesulfonamide,Q9H7Z7,PTGES2
5280363,Amoglandin,Q9H7Z7,PTGES2
44389720,CHEMBL360114,Q9H7Z7,PTGES2
44390653,CHEMBL369525,Q9H7Z7,PTGES2
44390119,CHEMBL367817,Q9H7Z7,PTGES2
3651377,Tocris-1311,Q9H7Z7,PTGES2
5090,Rofecoxib,Q9H7Z7,PTGES2
44389592,CHEMBL362663,Q9H7Z7,PTGES2
14591236,CHEMBL555147,Q9H7Z7,PTGES2
44390220,CHEMBL180718,Q9H7Z7,PTGES2
44389925,CHEMBL178390,Q9H7Z7,PTGES2
44389542,CHEMBL181986,Q9H7Z7,PTGES2
444885,N-acetyl-alpha-neuraminic acid,Q9BZZ2,SIGLEC1
64689,Beta-D-Glucose,Q9BZZ2,SIGLEC1
448281,MLN-4760,Q9BYF1,ACE2
91270,Moexipril hydrochloride,Q9BYF1,ACE2
18668701,"Phosphinic Peptide Inhibitor, 16",Q9BYF1,ACE2
24776239,"Amino dicarboxylate analogue, 6",Q9BYF1,ACE2
24776231,"Phosphinic Peptide Inhibitor, 34 FII",Q9BYF1,ACE2
24776235,"Phosphinic Peptide Inhibitor, 41 FII",Q9BYF1,ACE2
98888,N-(2-Aminoethyl)-1-aziridineethanamine,Q9BYF1,ACE2
24776225,"Phosphinic Peptide Inhibitor, 28 FII",Q9BYF1,ACE2
24776241,"Amino dicarboxylate analogue, 9",Q9BYF1,ACE2
24776228,"Phosphinic Peptide Inhibitor, 31",Q9BYF1,ACE2
24776229,"Phosphinic Peptide Inhibitor, 32",Q9BYF1,ACE2
24776243,"Amino dicarboxylate analogue, 11",Q9BYF1,ACE2
24776226,"Phosphinic Peptide Inhibitor, 29",Q9BYF1,ACE2
24776230,"Phosphinic Peptide Inhibitor, 33",Q9BYF1,ACE2
24776227,"Phosphinic Peptide Inhibitor, 30",Q9BYF1,ACE2
24776224,"Phosphinic Peptide Inhibitor, 27",Q9BYF1,ACE2
24776242,"Amino dicarboxylate analogue, 10",Q9BYF1,ACE2
24776240,"Amino dicarboxylate analogue, 8",Q9BYF1,ACE2
24776244,"Amino dicarboxylate analogue, 12",Q9BYF1,ACE2
24776234,"Phosphinic Peptide Inhibitor, 40 FII",Q9BYF1,ACE2
24776237,"Amino dicarboxylate analogue, 4",Q9BYF1,ACE2
24776238,"Amino dicarboxylate analogue, 5",Q9BYF1,ACE2
24776236,"Phosphinic Peptide Inhibitor, 44 FII",Q9BYF1,ACE2
24776217,"Phosphinic Peptide Inhibitor, 12",Q9BYF1,ACE2
24776218,"Phosphinic Peptide Inhibitor, 13",Q9BYF1,ACE2
24776233,"Phosphinic Peptide Inhibitor, 36",Q9BYF1,ACE2
24776232,"Phosphinic Peptide Inhibitor, 35",Q9BYF1,ACE2
24776219,"Phosphinic Peptide Inhibitor, 14",Q9BYF1,ACE2
1382255,STK570161,Q9BYF1,ACE2
24776220,"Phosphinic Peptide Inhibitor, 15",Q9BYF1,ACE2
10742064,"Phosphinic Peptide Inhibitor, 17",Q9BYF1,ACE2
14134448,CHEMBL51566,Q9BYF1,ACE2
24776223,"Phosphinic Peptide Inhibitor, 26",Q9BYF1,ACE2
24776221,CHEMBL34068,Q9BYF1,ACE2
24776245,"Amino dicarboxylate analogue, 13",Q9BYF1,ACE2
24776247,"Amino dicarboxylate analogue, 15",Q9BYF1,ACE2
24776246,"Amino dicarboxylate analogue, 14",Q9BYF1,ACE2
44447656,()-oxazepam hemisuccinate sodium salt,Q9BYF1,ACE2
2719,Chloroquine,Q9BYF1,ACE2
3652,Hydroxychloroquine,Q9BYF1,ACE2
2442,Bromhexine,Q9BYF1,ACE2
24776222,CHEMBL36716,Q9BYF1,ACE2
24776248,"Amino dicarboxylate analogue, 7",Q9BYF1,ACE2
52946818,()-oxazepam hemisuccinate sodium salt,Q9BYF1,ACE2
6288,Threonine,Q9BW92,TARS2
6202,Thiamine monohydrochloride,Q9BU02,THTPA
1130,Thiamine monohydrochloride,Q9BU02,THTPA
6224,Sodium citrate,Q9BQT8,SLC25A21
44299577,CHEBI:644957,Q9BQB6,VKORC1
44329078,CHEBI:646278,Q9BQB6,VKORC1
9942127,CHEMBL359703,Q9BQB6,VKORC1
44347063,CHEBI:651902,Q9BQB6,VKORC1
16739325,CHEMBL397446,Q9BQB6,VKORC1
44319825,CHEMBL315617,Q9BQB6,VKORC1
10060017,CHEMBL49881,Q9BQB6,VKORC1
9794039,CHEMBL60372,Q9BQB6,VKORC1
9839201,CHEMBL43678,Q9BQB6,VKORC1
39836,L-NAME,Q9BQB6,VKORC1
10130105,CHEMBL260277,Q9BQB6,VKORC1
42625451,CHEMBL450726,Q9BQB6,VKORC1
18785824,CHEMBL8041,Q9BQB6,VKORC1
10584290,CHEMBL267038,Q9BQB6,VKORC1
12778906,CHEMBL182305,Q9BQB6,VKORC1
2733506,NCGC00015566-01,Q9BQB6,VKORC1
44399945,CHEMBL365804,Q9BQB6,VKORC1
9793824,CHEMBL7891,Q9BQB6,VKORC1
44329296,CHEBI:651856,Q9BQB6,VKORC1
44430635,CHEMBL233654,Q9BQB6,VKORC1
10103242,CHEMBL308310,Q9BQB6,VKORC1
10800919,CHEMBL6760,Q9BQB6,VKORC1
11175135,CHEMBL42968,Q9BQB6,VKORC1
44319656,CHEMBL86040,Q9BQB6,VKORC1
10265375,CHEMBL233228,Q9BQB6,VKORC1
3864,NG-NITROARGININE METHYL ESTER,Q9BQB6,VKORC1
15887953,CHEMBL183012,Q9BQB6,VKORC1
3863,AC1L1GVT,Q9BQB6,VKORC1
44329063,CHEBI:646225,Q9BQB6,VKORC1
9950094,CHEMBL112866,Q9BQB6,VKORC1
10398629,CHEMBL298404,Q9BQB6,VKORC1
18785910,CHEMBL8302,Q9BQB6,VKORC1
18721726,CHEMBL364999,Q9BQB6,VKORC1
15552206,CHEMBL365202,Q9BQB6,VKORC1
44399834,CHEMBL370922,Q9BQB6,VKORC1
18785885,CHEMBL267075,Q9BQB6,VKORC1
44430640,CHEMBL397710,Q9BQB6,VKORC1
44299675,CHEBI:645079,Q9BQB6,VKORC1
10630842,CHEMBL6643,Q9BQB6,VKORC1
4469991,AC1NBLOD,Q9BQB6,VKORC1
44399940,CHEMBL193007,Q9BQB6,VKORC1
17892465,CHEMBL185585,Q9BQB6,VKORC1
44430638,CHEMBL234498,Q9BQB6,VKORC1
9797393,CHEMBL42969,Q9BQB6,VKORC1
