DrugBank ID,Name,Drug group,Pharmacological action?,Actions,Accession,Details,PUBCHEM ID
DB00608,Chloroquine,"approved, investigational, vet_approved",unknown,modulator,Q9BYF1,,2719
DB01611,Hydroxychloroquine,approved,unknown,modulator,Q9BYF1,,3652
DB09019,Bromhexine,approved,unknown,binder,Q9BYF1,,2442
DB09019,Bromhexine,approved,unknown,binder,Q9BYF1,,2442
DB13729,Camostat,experimental,unknown,inhibitor,O15393,Details,2536
DB09019,Bromhexine,approved,unknown,,O15393,Details,2442
DB05470,VX-702,investigational,unknown,,P05231,Details,10341154
DB05767,Andrographolide,investigational,unknown,,P05231,Details,5318517
DB06083,Tapinarof,investigational,unknown,,P05231,Details,6439522
DB11967,Binimetinib,"approved, investigational",unknown,,P05231,Details,10288191
DB05513,Atiprimod,investigational,unknown,,P05231,Details,129869
DB12140,Dilmapimod,investigational,unknown,,P05231,Details,10297982
DB01261,Sitagliptin,"approved, investigational",yes,inhibitor,P27487,,4369359
DB01884,2-Amino-3-Methyl-1-Pyrrolidin-1-Yl-Butan-1-One,experimental,unknown,,P27487,,447256
DB02004,"5-(Aminomethyl)-6-(2,4-Dichlorophenyl)-2-(3,5-Dimethoxyphenyl)Pyrimidin-4-Amine",experimental,unknown,,P27487,,448436
DB04491,Diisopropylphosphono Group,experimental,unknown,,P27487,,6327350
DB03253,(2s)-Pyrrolidin-2-Ylmethylamine,experimental,unknown,,P27487,,2734054
DB04876,Vildagliptin,"approved, investigational",yes,inhibitor,P27487,,6918537
DB11723,Dutogliptin,investigational,unknown,,P27487,,11253490
DB06127,Bisegliptin,investigational,unknown,,P27487,,11688894
DB06011,AMG-222,investigational,unknown,,P27487,,11977989
DB01041,Thalidomide,"approved, investigational, withdrawn",yes,inhibitor,P01375,Details,5426
DB00608,Chloroquine,"approved, investigational, vet_approved",unknown,inhibitor,P01375,Details,2719
DB01407,Clenbuterol,"approved, investigational, vet_approved",unknown,other/unknown,P01375,Details,2783
DB01411,Pranlukast,investigational,unknown,other/unknown,P01375,Details,4887
DB01427,Amrinone,approved,unknown,inhibitor,P01375,Details,3698
DB05412,Talmapimod,investigational,unknown,,P01375,Details,9871074
DB05470,VX-702,investigational,unknown,,P01375,Details,10341154
DB05767,Andrographolide,investigational,unknown,,P01375,Details,5318517
DB05869,Ethyl pyruvate,investigational,unknown,,P01375,Details,12041
DB05968,PR-104,investigational,unknown,,P01375,Details,11455973
DB11967,Binimetinib,"approved, investigational",unknown,,P01375,Details,10288191
DB05513,Atiprimod,investigational,unknown,,P01375,Details,129869
DB05992,Plinabulin,investigational,unknown,,P01375,Details,9949641
DB06444,Dexanabinol,investigational,unknown,,P01375,Details,107778
DB08910,Pomalidomide,approved,yes,inhibitor,P01375,Details,134780
DB00668,Epinephrine,"approved, vet_approved",unknown,antagonistagonist,P01375,Details,5816
DB00852,Pseudoephedrine,approved,unknown,inhibitor,P01375,Details,7028
DB12140,Dilmapimod,investigational,unknown,,P01375,Details,10297982
DB09221,Polaprezinc,experimental,unknown,inhibitor,P01375,Details,51051629
DB13751,Glycyrrhizic acid,"approved, experimental",yes,antagonist,P01375,Details,14982
DB00790,Perindopril,approved,yes,inhibitor,P12821,Details,107807
DB01180,Rescinnamine,approved,yes,inhibitor,P12821,Details,32681
DB02032,Epicaptopril,experimental,unknown,,P12821,Details,688267
DB03740,N-acetyl-alpha-D-glucosamine,experimental,unknown,,P12821,Details,82313
DB00492,Fosinopril,approved,yes,inhibitor,P12821,Details,9601226
DB00542,Benazepril,"approved, investigational",yes,inhibitor,P12821,Details,5362124
