CID,smiles
145994598,CC1=CN(C(=O)N=C1O)C2CC(C(O2)COP(=O)(O)OC3CC(OC3COP(=O)(O)OC4CC(OC4COP(=O)(O)OC5CC(OC5COP(=O)(O)OC6CC(OC6COP(=O)(O)OC7CC(OC7COP(=O)(O)OC8CC(OC8COP(=O)(O)OC9CC(OC9COP(=O)(O)OC1CC(OC1COP(=O)(O)OC1CC(OC1COP(=O)(O)OC1CC(OC1COP(=O)(O)OC1CC(OC1COP(=O)(O)OC1CC(OC1CO)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C(=NC1=O)O)C)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C(=NC1=O)O)C)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C(=NC1=O)O)C)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C(=NC1=O)O)C)OP(=O)(O)OCC1C(CC(O1)N1C=NC2=C1NC(=N)N=C2O)OP(=O)(O)OCC1C(CC(O1)N1C=C(C(=NC1=O)O)C)OP(=O)(O)OCC1C(CC(O1)N1C=NC2=C1NC(=N)N=C2O)OP(=O)(O)OCC1C(CC(O1)N1C=NC2=C1NC(=N)N=C2O)OP(=O)(O)OCC1C(CC(O1)N1C=C(C(=NC1=O)O)C)OP(=O)(O)OCC1C(CC(O1)N1C=NC2=C1NC(=N)N=C2O)OP(=O)(O)OCC1C(CC(O1)N1C=NC2=C1NC(=N)N=C2O)OP(=O)(O)OCC1C(CC(O1)N1C=C(C(=NC1=O)O)C)OP(=O)(O)OCC1C(CC(O1)N1C=NC2=C1NC(=N)N=C2O)OP(=O)(O)OCC1C(CC(O1)N1C=NC2=C1NC(=N)N=C2O)OP(=O)(O)OCC1C(CC(O1)N1C=C(C(=NC1=O)O)C)OP(=O)(O)OCC1C(CC(O1)N1C=NC2=C1NC(=N)N=C2O)OP(=O)(O)OCC1C(CC(O1)N1C=NC2=C1NC(=N)N=C2O)O
92337,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O
17753880,C[As](C)SCC(C(=O)O)N
5280363,CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O
3715,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
448457,CCCCCC(C=CC1C(C(CC1=O)O)CC=CCCCC(=O)O)O
123879,C1CC2=C(CC1NS(=O)(=O)C3=CC=C(C=C3)F)C4=CC=CC=C4N2CCC(=O)O
5311181,CC#CCC(C)C(C=CC1C(CC2C1CC(=CCCCC(=O)O)C2)O)O
5280723,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O
5280360,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O
1548887,CC1=C(C2=C(C1=CC3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O
5733,CC1=C(N(C(=C1)CC(=O)O)C)C(=O)C2=CC=C(C=C2)Cl
11671467,CC1(C(=O)N(C2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)COP(=O)(O)O)C
253602,CC(=O)OC1C(CNC1CC2=CC=C(C=C2)OC)O
444718,C1=CC=C(C=C1)CC(C(=O)O)O
439530,CN(C)C1=NC=NC2=C1N=CN2C3C(C(C(O3)CO)NC(=O)C(CC4=CC=C(C=C4)OC)N)O
3007855,[Cl-].[Cl-].[Zn+2]
5311145,CC(C)CC(C(=O)C)N
14542146,CC(C)CC(C(=O)CC(C)C(=O)O)N
44360285,CC(C)CCNC(=O)C(C(CC(C)C)N)O
14542149,CC(C)CC(C(=O)CC(CC1=CC=CC=C1)C(=O)O)N
15719283,CC(C)CCNC(=O)C(=O)C(CC(C)C)N
33032,C(CC(=O)O)C(C(=O)O)N
44309732,CC(C)CCNC(=O)C(C(CC1=CC=CC=C1)N)O
15719279,CC(C)CCNC(=O)C(=O)C(CC1=CC=CC=C1)N
15719282,CC(C)CCNC(=O)C(=O)C(CC(C)C)N
5962,C(CCN)CC(C(=O)O)N
439153,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
160556,C(CCNC(CCC(=O)O)C(=O)O)CC(C(=O)O)N
5884,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O
1110,C(CC(=O)O)C(=O)O
135398513,C1=NC2=C(N1COCCO)N=C(NC2=O)N
34756,C[S+](CCC(C(=O)O)N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
6137,CSCCC(C(=O)O)N
5280934,CCC=CCC=CCC=CCCCCCCCC(=O)O
46830779,CCCCCCCCCC1=NC2=C(N1CC3=CC=CC=C3)C4=CC=CC=C4N=C2N
135409474,C(C1C(C(C(O1)N2C3=C(C(=O)NC(=N3)N)SC2=O)O)O)O
57469,CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N
24860861,COCCOC1=NC(=C2C(=N1)N(C(=N2)N)CC3=CC=CC=C3)N
46834530,CCN(CCC#N)CC1=NC2=C(N1CC(C)(C)O)C3=CC=CC=C3N=C2N
46834248,CCN(CC)CC1=NC2=C(N1CC(C)(C)O)C3=CC=CC=C3N=C2N
24860863,CCNC1=NC2=C(N=C(N=C2N1CC3=CC=CC=C3)OCCOC)N
6992140,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)NC(=O)CCC(C(=O)O)N
3652,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO
11949605,COCCNC(=O)C1=NC(=C2C(=N1)N(C(=O)N2)CC3=CC=CC=C3)N
24860931,COCCOC1=NC(=C2C(=N1)N(C(=N2)NCCCO)CC3=CC=CC=C3)N
23158770,CCCCOC1=NC(=C2C(=N1)N(C(=O)N2)CC3=CC=CC(=C3)CC(=O)OCC)N
44588952,CC1=NC=C(C=C1)CN2C3=CC(=NC(=C3NC2=O)N)C4=NC=CS4
44592368,CCNCC1=NC2=C(N1CC(C)(C)O)C=NC3=CC=CC=C32.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O
52946880,[B-]1(N2C(=CC=C2C3=CC=CS3)C=C4[N+]1=C(C=C4)C5=CC=C(C=C5)OCC(=O)NCCCCCNC(=S)NCC6=CC=C(C=C6)CN7C(=NC8=C7C9=CC=CC=C9N=C8N)CCCC)(F)F
11223759,CCCCOC1=NC(=C2C(=N1)N(C(=O)N2)CC3=C(C=CC(=C3)CC(=O)OC)OC)N
52944297,CCCCC1=NC2=C(N1CC3=CC=CC(=C3)CN)C4=CC=CC=C4N=C2N
52948094,CCCCC1=NC2=C(N1CC3=CC=C(C=C3)CNC(=S)NC4=CC(=C(C=C4)C5=C6C=CC(=[N+](CC)CC)C=C6OC7=C5C=CC(=C7)N(CC)CC)C(=O)O)C8=CC=CC=C8N=C2N
46831067,C#CCCC1=NC2=C(N1CC3=CC=CC=C3)C4=CC=CC=C4N=C2N
10018576,COCCOC1=NC(=C2C(=N1)N(C(=O)N2)CC3=CC=CC=C3)N
50899555,CCCCC1=NC2=C(N1CC3=CC=C(C=C3)CNC(=S)NC4=CC=CC(=C4C(=O)O)C5=C6C=CC(=O)C=C6OC7=C5C=CC(=C7)O)C8=CC=CC=C8N=C2N
159603,CCOCC1=NC2=C(N1CC(C)(C)O)C3=CC=CC=C3N=C2N
46831065,C=CCCC1=NC2=C(N1CC3=CC=CC=C3)C4=CC=CC=C4N=C2N
23158703,COCCOC1=NC(=C2C(=N1)N(C(=O)N2)CC3=CC=CC(=C3)CC(=O)OC)N
46831378,CCNCC1=NC2=C(N1CC3=CC=CC=C3)C4=CC=CC=C4N=C2N
52941850,CCCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4)C5=CC=CC=C5N=C2N
46830776,CCCCCC1=NC2=C(N1CC3=CC=CC=C3)C4=CC=CC=C4N=C2N
46196915,CCCCOC1=NC(=C2C(=N1)N(C(=O)N2)CC3=CC=CC(=C3)CCC(=O)OC)N
23158775,CCCCOC1=NC(=C2C(=N1)N(C(=O)N2)CC3=CC(=CC=C3)C(C)C(=O)OC)N
46196913,CCCCOC1=NC(=C2C(=N1)N(C(=O)N2)CC3=CC=C(C=C3)C(=O)OC)N
9818270,CCCCOC1=NC(=C2C(=N1)N(C(=O)N2)CC3=CC=CC=C3)N
46830489,CCCCC1=NC2=C(N1CC3=CC=CC=C3)C4=CC=CC=C4N=C2N
10317115,CCCCOC1=NC(=C2C(=N1)N(C(=O)N2)CC3=CC(=CC=C3)C(=O)OC)N
23079483,CCCCOC1=NC(=C2C(=N1)N(C(=O)N2)CC3=CC=CC(=C3)CC(=O)OC)N
11596538,CCCCOC1=NC(=C2C(=N1)N(C(=O)N2)CC3=CC(=C(C=C3)F)CC(=O)OC)N
52945312,CCCCC1=NC2=C(N1CC3=CC=C(C=C3)CN)C4=CC=CC=C4N=C2N
44588975,CC(C)(C)OC(=O)CCC(=O)N(CCCN1C2=NC(=NC(=C2NC1=O)N)OCCOC)CC3=CC=C(C=C3)CC(=O)OC
44588974,CN1CCN(CC1)CC(=O)N(CCCN2C3=NC(=NC(=C3NC2=O)N)OCCOC)CC4=CC=C(C=C4)CC(=O)OC
9930010,CCCCOC1=NC(=C2C(=N1)N(C(=O)N2)CC3=CC=C(C=C3)CC(=O)OC)N
24898957,C1=CC=C(C=C1)CNC2=NC(=C3C(=N2)N(C(=O)N3)CC4=CC(=CC=C4)CP(=O)(O)O)N
44588973,COCCOC1=NC(=C2C(=N1)N(C(=S)N2)CC3=CC(=CC=C3)CP(=O)(C)O)N
21470208,CCCCC1=NC2=C(N1CC(C)(C)O)C3=CC=CC=C3N=C2N
11647322,CCCCOC1=NC(=C2C(=N1)N(C(=O)N2)CC3=CC(=C(C=C3)OC)CC(=O)OC)N
52946707,CCCCC1=NC2=C(N1CC3=CC=CC4=CC=CC=C43)C5=CC=CC=C5N=C2N
44592367,CCNCC1=NC2=C(N1CC(C)(C)O)C(=NC3=CC=CC=C32)N.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O
46196914,CCCCOC1=NC(=C2C(=N1)N(C(=O)N2)CC3=CC=CC=C3CC(=O)OC)N
46831374,CCCCC1=NC2=C(N1CC3=CC=CC=C3)C4=CC=CC=C4N=C2NN
46830488,CCCC1=NC2=C(N1CC3=CC=CC=C3)C4=CC=CC=C4N=C2N
46830487,CCC1=NC2=C(N1CC3=CC=CC=C3)C4=CC=CC=C4N=C2N
46831372,CCCCC1=NC2=C(N1CC3=CC=CC=C3)C4=CC=CC=C4N=C2NO
44415366,COCCOC1=NC(=C2C(=N1)N(C(=N2)NN)CC3=CC=CC=C3)N
46830777,CCCCCCC1=NC2=C(N1CC3=CC=CC=C3)C4=CC=CC=C4N=C2N
46830778,CCCCCCCC1=NC2=C(N1CC3=CC=CC=C3)C4=CC=CC=C4N=C2N
13982892,CC1=NC2=C(N1CC3=CC=CC=C3)C4=CC=CC=C4N=C2N
44592366,CCNCC1=NC2=C(N1CC(C)(C)O)C3=CC=CC=C3N=C2N
46196912,CCCCOC1=NC(=C2C(=N1)N(C(=O)N2)CC3=CC=CC=C3C(=O)OC)N
447048,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)O)O)O)O)O)N
5361,CC1=C(C=C(C=C1)C(=O)NC2=C3C(=CC(=CC3=C(C=C2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)NC(=O)C4=CC(=CC=C4)NC(=O)NC5=CC=CC(=C5)C(=O)NC6=C(C=CC(=C6)C(=O)NC7=C8C(=CC(=CC8=C(C=C7)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)C
936,C1=CC(=CN=C1)C(=O)N
447049,CC(=O)OC1C(C(OC1O)COP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)O)O
3246390,C1=CC=C(C=C1)C2=C(C(=O)NC(=S)N2)CC3=C(C=CC4=CC=CC=C43)O
11987888,CC(C)(C)C(=O)OC1=CC2=C(C=C1)N(C(=N2)NC(=O)C3=CC(=CC=C3)[N+](=O)[O-])CCCO
16042898,CCOC(=O)N1CC2=CC=CC=C2N=C(C1)N
16222788,CCN(CC)C(=O)N1CC2=CC=CC=C2N=C(C1)N
2719,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
11474810,CN1CCN(CC1)C2=CC=C(C=C2)C3=NC4=CC=CC=C4C(=N3)OCCN(C)C
11189680,CN1CCN(CC1)C2=CC=C(C=C2)C3=NC4=CC=CC=C4C(=N3)NCCN5CCOCC5
44589026,CN1CCN(CC1)C2=CC=C(C=C2)C3=NC4=CC=CC=C4C(=N3)NCCN(C)C
44589003,CN(C)CCNC1=NC(=NC2=CC=CC=C21)C3=CC=C(C=C3)C4=CC=CC=C4
284,C(=O)O
795,C1=CN=CN1
1032,CCC(=O)O
439655,C(C(C(=O)O)O)(C(=O)O)O
124886,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N
439554,CC1C(C(C(C(O1)O)O)O)O
185698,C(C1C(C(C(C(O1)O)O)O)O)O
1051,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O
11029,C(=O)([O-])[O-].[Mg+2]
16070041,C1=CC=C2C(=C1)C3=C(C=CC(=C3)Cl)C4=C2N=C(N4)C5=C(C=CC=C5C#N)C#N
16730275,CC(C)(CC1=CC2=C(C=C1)C3=C(C4=C2C=C(C=C4)OCCC5CC5)N=C(N3)C6=C(C=C(C=C6C#N)F)C#N)O
11705274,CC(C)(C#CC1=CC2=C(C=C1)C3=C(C4=C2C=C(C=C4)Cl)N=C(N3)C5=C(C=CC=C5C#N)C#N)O
19914713,CC(C)C1=CC2=C(C=C1)NC(=C2SC(C)(C)C)CC(C)(C)C(=O)O
44389649,CC(C)C1=CC2=C(C=C1)N(C(=C2SC(C)(C)C)CC(C)(C)C(=O)ON)CC3=CC=C(C=C3)Cl
44389535,CC(C)C1=CC2=C(C=C1)N(C(=C2SC(C)(C)C)CC(C)(C)C(=O)O)C
44390943,CC1=C(N(C2=C1C=C(C=C2)C3=CC(=C(C=C3)C4=CC=CC=C4Cl)F)CC5=CC=C(C=C5)Cl)CC(C)(C)C(=O)O
44389950,CC(C)C1=CC2=C(C=C1)N(C(=C2OC3=CC=CC=C3)CC(C)(C)C(=O)O)CC4=CC=C(C=C4)Cl
44390366,CC1=C(N(C2=C1C=C(C=C2)C3=CC=CC=C3)CC4=CC=C(C=C4)Cl)CC(C)(C)C(=O)O
44389930,CC(C)C1=CC2=C(C=C1)N(C(=C2CC3=CC=C(C=C3)C(C)(C)C)CC(C)(C)C(=O)O)CC4=CC=C(C=C4)Cl
44390020,CC(C)C1=CC2=C(C=C1)N(C(=C2C(=O)CSC(C)(C)C)CC(C)(C)C(=O)O)CC3=CC=C(C=C3)Cl
44390083,CC(C)C1=CC2=C(C=C1)N(C(=C2C(=O)CC(C)(C)C)CC(C)(C)C(=O)O)CC3=CC=C(C=C3)Cl
44390555,CC1=C(N(C2=C1C=C(C=C2)C3=CC=CC(=C3)C4=CC=CC=C4)CC5=CC=C(C=C5)Cl)CC(C)(C)C(=O)O
44391207,CC1=CC(=CC=C1)C2=C(C=C(C=C2)C3=CC4=C(C=C3)N(C(=C4C)CC(C)(C)C(=O)O)CC5=CC=C(C=C5)Cl)F
44390723,CC1=C(N(C2=C1C=C(C=C2)C3=CC(=C(C=C3)C4=NC=CN=C4)F)CC5=CC=C(C=C5)Cl)CC(C)(C)C(=O)O
44391283,CC1=CC=C(C=C1)C2=C(C=C(C=C2)C3=CC4=C(C=C3)N(C(=C4C)CC(C)(C)C(=O)O)CC5=CC=C(C=C5)Cl)F
44390496,CC1=C(N(C2=C1C=C(C=C2)C3=CC(=C(C=C3)C4=CC=CC=C4)Cl)CC5=CC=C(C=C5)Cl)CC(C)(C)C(=O)O
44390610,CC1=C(N(C2=C1C=C(C=C2)C3=CC=C(C=C3)C4=CC=CC=C4)CC5=CC=C(C=C5)Cl)CC(C)(C)C(=O)O
44390835,CC1=C(N(C2=C1C=C(C=C2)C3=CC(=C(C=C3)C4=CN=CC=C4)F)CC5=CC=C(C=C5)Cl)CC(C)(C)C(=O)O
44390875,CC1=C(N(C2=C1C=C(C=C2)C3=CC(=C(C=C3)C4=CC=CC=C4F)F)CC5=CC=C(C=C5)Cl)CC(C)(C)C(=O)O
44390722,CC1=C(N(C2=C1C=C(C=C2)C3=CC(=C(C=C3)C4=CC=CC=C4)F)CC5=CC=C(C=C5)Cl)CC(C)(C)C(=O)O
44390981,CC1=C(N(C2=C1C=C(C=C2)C3=CC(=C(C=C3)C4=CC=CC=C4C(=O)C)F)CC5=CC=C(C=C5)Cl)CC(C)(C)C(=O)O
5352624,CC1=C(C2=C(C1=CC3=CC=C(C=C3)SC)C=CC(=C2)F)CC(=O)O
44390282,CC1=C(N(C2=C1C=C(C=C2)C(C)(C)C)CC3=CC=C(C=C3)Cl)CC(C)(C)C(=O)O
11526708,CC1=CC=CC=C1C2=C(C=C(C=C2)C3=CC4=C(C=C3)N(C(=C4C)CC(C)(C)C(=O)O)CC5=CC=C(C=C5)Cl)F
122070,CC1=C(N(C2=C1C=C(C=C2)F)CC3=CC=C(C=C3)Cl)CC(C)(C)C(=O)O
44389574,CC(C)C1=CC2=C(C=C1)N(C(=C2SC(C)(C)C)CC(C)(C)C(=O)OC)CC3=CC=C(C=C3)Cl
158,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O
4553,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2CCCCC2
44389720,CC1=CC=CC=C1C(=O)C2=C(N(C3=C2C=C(C=C3)C(C)C)CC4=CC=C(C=C4)Cl)CC(C)(C)C(=O)O
44390653,CC1=C(N(C2=C1C=C(C=C2)C3=CC(=C(C=C3)C4=CC=CC=C4OC)F)CC5=CC=C(C=C5)Cl)CC(C)(C)C(=O)O
44390119,CC1=C(N(C2=C1C=C(C=C2)C(C)C)CC3=CC=C(C=C3)Cl)CC(C)(C)C(=O)O
3651377,CC(C)C1=CC2=C(C=C1)N(C(=C2SC(C)(C)C)CC(C)(C)C(=O)O)CC3=CC=C(C=C3)Cl
5090,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3
44389592,CC(C)C1=CC2=C(C=C1)N(C(=C2SC(C)(C)C)CC(C)(C)C(=O)O)CCCC3=CC=CC=C3
14591236,CC1=C(N(C2=CC=CC=C12)CC3=CC=C(C=C3)Cl)CC(C)(C)C(=O)O
44390220,CC1=C(N(C2=C1C=CC=C2C(C)C)CC3=CC=C(C=C3)Cl)CC(C)(C)C(=O)O
44389925,CC(C)C1=CC2=C(C=C1)N(C(=C2C3=CC=CC=C3)CC(C)(C)C(=O)O)CC4=CC=C(C=C4)Cl
44389542,CC(C)C1=CC2=C(C=C1)N(C(=C2SC(C)(C)C)CC(C)(C)C(=O)O)CC=C
444885,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)O)O
64689,C(C1C(C(C(C(O1)O)O)O)O)O
448281,CC(C)CC(C(=O)O)NC(CC1=CN=CN1CC2=CC(=CC(=C2)Cl)Cl)C(=O)O
91270,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CC3=CC(=C(C=C3CC2C(=O)O)OC)OC
18668701,C1=CC=C(C=C1)CC(CP(=O)(C(CC2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3)O)C(=O)O
24776239,CC(C)CC(C(=O)O)NC(CC1=CN=CN1CC2CCCCC2)C(=O)O
24776231,CC(=O)NC(CC1=CN=CN1)C(=O)N2CCCC2P(=O)(CC(CC3=CC=CC=C3)C(=O)O)O
24776235,CC(=O)NC(CC1=CN=CN1)C(=O)N2CCCC2P(=O)(CC(CC3=CC(=NO3)C4=CC=CC=C4)C(=O)O)O
98888,C1CN1CCNCCN
24776225,CC(C)CC(C(=O)N1CCCC1P(=O)(CC(CC2=CC=CC=C2)C(=O)O)O)NC(=O)C
24776241,CC(C)CC(C(=O)O)NC(CC1=CN=CN1CC2=CC=C(C=C2)Cl)C(=O)O
24776228,CC(=O)NC(CC1=CC=C(C=C1)O)C(=O)N2CCCC2P(=O)(CC(CC3=CC=CC=C3)C(=O)O)O
24776229,CC(=O)NC(CC1=CC=CC=C1)C(=O)N2CCCC2P(=O)(CC(CC3=CC=CC=C3)C(=O)O)O
24776243,CC1=CC=C(C=C1)CN2C=NC=C2CC(C(=O)O)NC(CC(C)C)C(=O)O
24776226,CC(=O)NC(CCCCN)C(=O)N1CCCC1P(=O)(CC(CC2=CC=CC=C2)C(=O)O)O
24776230,CC(C)C(C(=O)N1CCCC1P(=O)(CC(CC2=CC=CC=C2)C(=O)O)O)NC(=O)C
24776227,CC(=O)NC(CCC(=O)O)C(=O)N1CCCC1P(=O)(CC(CC2=CC=CC=C2)C(=O)O)O
24776224,CC(C(=O)N1CCCC1P(=O)(CC(CC2=CC=CC=C2)C(=O)O)O)NC(=O)C
24776242,CC(C)CC(C(=O)O)NC(CC1=CN=CN1CC2=CC=C(C=C2)OC(F)(F)F)C(=O)O
24776240,CC(C)CC(C(=O)O)NC(CC1=CN=CN1CC2=CC=C(C=C2)[N+](=O)[O-])C(=O)O
24776244,CC1=CC=CC=C1CN2C=NC=C2CC(C(=O)O)NC(CC(C)C)C(=O)O
24776234,CC(C)CC(C(=O)N1CCCC1P(=O)(CC(CC2=CC(=NO2)C3=CC=CC=C3)C(=O)O)O)NC(=O)C
24776237,CCC(C(=O)O)NC(CC1=CN=CN1CC2=CC=CC=C2)C(=O)O
24776238,C1=CC=C(C=C1)CC(C(=O)O)NC(CC2=CN=CN2CC3=CC=CC=C3)C(=O)O
24776236,CC(C)CC(NC(=O)C(CC1=CN=CN1)NC(=O)C)P(=O)(CC(CC2=CC(=NO2)C3=CC=CC=C3)C(=O)O)O
24776217,C1CC(N(C1)C(=O)OCC2=CC=CC=C2)P(=O)(CC(CC3=CC=CC=C3)C(=O)O)O
24776218,CC(C)CC(CP(=O)(C1CCCN1C(=O)OCC2=CC=CC=C2)O)C(=O)O
