Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"ACE2","Angiotensin Converting Enzyme 2","Protein Coding","49","GC0XM015494","27.4350147247314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE2"
"TMPRSS2","Transmembrane Serine Protease 2","Protein Coding","45","GC21M041464","17.3798637390137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMPRSS2"
"IL6","Interleukin 6","Protein Coding","50","GC07P022725","16.5356140136719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"NRP1","Neuropilin 1","Protein Coding","47","GC10M033177","12.5361022949219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRP1"
"DPP4","Dipeptidyl Peptidase 4","Protein Coding","50","GC02M161992","12.4459114074707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP4"
"TNF","Tumor Necrosis Factor","Protein Coding","51","GC06P055202","12.2136268615723","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","50","GC17P063477","12.1475687026978","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"TLR4","Toll Like Receptor 4","Protein Coding","51","GC09P117704","11.9289674758911","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR4"
"TNNI3","Troponin I3, Cardiac Type","Protein Coding","50","GC19M055151","11.433666229248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNNI3"
"IFNA2","Interferon Alpha 2","Protein Coding","41","GC09M021384","11.2797660827637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA2"
"IL1B","Interleukin 1 Beta","Protein Coding","49","GC02M112829","10.9885845184326","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"IL2RA","Interleukin 2 Receptor Subunit Alpha","Protein Coding","51","GC10M006010","10.9161815643311","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA"
"IL4","Interleukin 4","Protein Coding","46","GC05P132673","10.6701536178589","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4"
"NPPB","Natriuretic Peptide B","Protein Coding","44","GC01M011858","10.5253820419312","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPPB"
"F3","Coagulation Factor III, Tissue Factor","Protein Coding","45","GC01M094530","10.3706817626953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F3"
"CCL2","C-C Motif Chemokine Ligand 2","Protein Coding","49","GC17P034255","10.3426551818848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"CXCL10","C-X-C Motif Chemokine Ligand 10","Protein Coding","45","GC04M076021","10.1487016677856","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL10"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","54","GC07P055019","9.88758277893066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"IFNB1","Interferon Beta 1","Protein Coding","42","GC09M021077","9.11846160888672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNB1"
"JAK1","Janus Kinase 1","Protein Coding","54","GC01M064833","8.96739196777344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK1"
"ADAM17","ADAM Metallopeptidase Domain 17","Protein Coding","51","GC02M009488","8.92386245727539","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM17"
"VWF","Von Willebrand Factor","Protein Coding","49","GC12M005917","8.72374820709229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VWF"
"IFIH1","Interferon Induced With Helicase C Domain 1","Protein Coding","48","GC02M162267","8.64634227752686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFIH1"
"NLRP3","NLR Family Pyrin Domain Containing 3","Protein Coding","48","GC01P247415","8.53637027740479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP3"
"CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","42","GC04P073740","8.49168109893799","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"STAT1","Signal Transducer And Activator Of Transcription 1","Protein Coding","54","GC02M190908","8.47708034515381","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT1"
"IFNA1","Interferon Alpha 1","Protein Coding","40","GC09P021522","8.38967990875244","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA1"
"CSF2","Colony Stimulating Factor 2","Protein Coding","44","GC05P132073","8.237229347229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF2"
"INS","Insulin","Protein Coding","48","GC11M002159","7.09395265579224","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"HLA-A","Major Histocompatibility Complex, Class I, A","Protein Coding","48","GC06P055161","6.90070533752441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-A"
"CRP","C-Reactive Protein","Protein Coding","47","GC01M159719","6.6631383895874","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"ABO","ABO, Alpha 1-3-N-Acetylgalactosaminyltransferase And Alpha 1-3-Galactosyltransferase","Protein Coding","38","GC09M133250","5.68499946594238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABO"
