Drug,Accession,CID
Moexipril hydrochloride,Q9BYF1,91270
MLN-4760,Q9BYF1,448281
"Phosphinic Peptide Inhibitor, 28 FII",Q9BYF1,24776225
"Amino dicarboxylate analogue, 15",Q9BYF1,24776247
"Phosphinic Peptide Inhibitor, 41 FII",Q9BYF1,24776235
"Phosphinic Peptide Inhibitor, 34 FII",Q9BYF1,24776231
"Amino dicarboxylate analogue, 13",Q9BYF1,24776245
"Phosphinic Peptide Inhibitor, 40 FII",Q9BYF1,24776234
"Amino dicarboxylate analogue, 14",Q9BYF1,24776246
()-oxazepam hemisuccinate sodium salt,Q9BYF1,44447656
"Amino dicarboxylate analogue, 7",Q9BYF1,24776248
()-oxazepam hemisuccinate sodium salt,Q9BYF1,52946818
"Amino dicarboxylate analogue, 9",Q9BYF1,24776241
"Phosphinic Peptide Inhibitor, 31",Q9BYF1,24776228
"Phosphinic Peptide Inhibitor, 32",Q9BYF1,24776229
"Amino dicarboxylate analogue, 11",Q9BYF1,24776243
"Phosphinic Peptide Inhibitor, 29",Q9BYF1,24776226
"Phosphinic Peptide Inhibitor, 33",Q9BYF1,24776230
"Phosphinic Peptide Inhibitor, 30",Q9BYF1,24776227
"Phosphinic Peptide Inhibitor, 27",Q9BYF1,24776224
"Amino dicarboxylate analogue, 10",Q9BYF1,24776242
"Amino dicarboxylate analogue, 8",Q9BYF1,24776240
"Amino dicarboxylate analogue, 6",Q9BYF1,24776239
"Amino dicarboxylate analogue, 12",Q9BYF1,24776244
"Amino dicarboxylate analogue, 4",Q9BYF1,24776237
"Amino dicarboxylate analogue, 5",Q9BYF1,24776238
"Phosphinic Peptide Inhibitor, 44 FII",Q9BYF1,24776236
"Phosphinic Peptide Inhibitor, 12",Q9BYF1,24776217
"Phosphinic Peptide Inhibitor, 13",Q9BYF1,24776218
"Phosphinic Peptide Inhibitor, 36",Q9BYF1,24776233
"Phosphinic Peptide Inhibitor, 35",Q9BYF1,24776232
"Phosphinic Peptide Inhibitor, 14",Q9BYF1,24776219
"Phosphinic Peptide Inhibitor, 17",Q9BYF1,10742064
N-(2-Aminoethyl)-1-aziridineethanamine,Q9BYF1,98888
CHEMBL36716,Q9BYF1,24776222
CHEMBL34068,Q9BYF1,24776221
"Phosphinic Peptide Inhibitor, 26",Q9BYF1,24776223
CHEMBL51566,Q9BYF1,14134448
"Phosphinic Peptide Inhibitor, 16",Q9BYF1,18668701
"Phosphinic Peptide Inhibitor, 15",Q9BYF1,24776220
STK570161,Q9BYF1,1382255
Hydroxychloroquine,P05231,3652
SIMVASTATIN,P05231,54454
BICALUTAMIDE,P05231,56069
Bicalutamide,P05231,2375
Arsentrioxide,P05231,518740
